"","country","points","price"
"173","Greece",89,17
"174","US",89,49
"175","France",89,16
"176","Spain",89,30
"177","Italy",89,40
"178","Italy",89,57
"179","US",89,29
"180","Chile",89,61
"181","US",88,25
"182","US",88,25
"183","US",88,49
"184","US",88,20
"185","Argentina",88,26
"186","US",88,34
"187","US",88,38
"188","US",88,38
"189","Spain",88,25
"190","Spain",87,22
"191","Argentina",87,15
"192","France",87,20
"193","France",87,25
"194","France",87,20
"195","France",87,20
"196","France",87,25
"197","US",87,10
"198","US",87,18
"199","US",87,18
"200","US",87,14
"201","US",87,14
"202","US",87,40
"203","France",87,18
"204","France",87,20
"205","US",87,10
"206","US",87,11
"207","US",87,36
"208","US",87,20
"209","US",87,32
"210","Spain",87,18
"211","Portugal",93,55
"212","Italy",93,49
"213","US",93,50
"214","Italy",93,58
"215","France",93,39
"216","France",93,65
"217","Morocco",93,35
"218","Italy",93,80
"219","France",93,42
"220","France",93,61
"221","US",93,58
"222","US",93,38
"223","France",93,48
"224","US",93,50
"225","Italy",93,58
"226","France",93,120
"227","US",93,50
"228","US",93,80
"229","US",93,40
"230","Portugal",93,41
"231","US",93,48
"232","US",93,200
"233","US",93,39
"234","US",93,62
"235","Italy",93,43
"236","France",92,35
"237","France",92,48
"238","France",92,55
"239","Portugal",92,40
"240","Italy",92,69
"241","France",88,16
"242","France",88,16
"243","France",88,NA
"244","France",88,15
"245","France",88,13
"246","US",88,28
"247","US",88,36
"248","Romania",88,9
"249","US",88,24
"250","US",88,30
"251","US",88,25
"252","Italy",88,34
"253","US",88,60
"254","US",88,54
"255","US",88,15
"256","Italy",88,56
"257","US",88,20
"258","US",88,61
"259","Italy",88,46
"260","Spain",88,30
"261","Spain",88,17
"262","France",88,NA
"263","US",88,40
"264","US",88,39
"265","Italy",88,49
"266","France",88,23
"267","US",88,16
"268","US",88,32
"269","US",88,18
"270","Argentina",88,15
"271","France",92,92
"272","France",92,94
"273","US",92,58
"274","US",92,50
"275","US",92,48
"276","US",92,32
"277","Italy",92,27
"278","Portugal",92,35
"279","Portugal",92,95
"280","US",92,43
"281","Italy",92,33
"282","Italy",92,60
"283","France",92,NA
"284","France",92,30
"285","US",92,100
"286","US",92,35
"287","France",91,60
"288","France",91,16
"289","France",91,40
"290","US",91,60
"291","France",91,100
"292","Portugal",91,18
"293","US",91,16
"294","US",91,42
"295","France",91,NA
"296","US",91,20
"297","Italy",91,25
"298","Italy",91,23
"299","US",91,38
"300","US",91,32
"301","US",94,60
"302","US",94,30
"303","Italy",94,85
"304","US",94,30
"305","US",94,65
"306","New Zealand",94,57
"307","US",94,90
"308","US",94,85
"309","US",94,70
"310","US",94,70
"311","US",94,60
"312","Italy",94,38
"313","Italy",94,29
"314","US",94,155
"315","US",94,48
"316","US",94,95
"317","US",94,80
"318","US",94,49
"319","France",94,35
"320","US",94,50
"321","France",94,44
"322","Spain",94,68
"323","France",94,20
"324","Spain",94,NA
"325","US",94,95
"326","France",94,44
"327","Argentina",94,50
"328","France",94,100
"329","France",94,70
"330","US",94,63
"331","Italy",91,75
"332","Germany",91,23
"333","US",91,50
"334","Spain",91,22
"335","US",91,45
"336","Portugal",91,130
"337","US",91,38
"338","US",91,30
"339","US",91,22
"340","Italy",91,NA
"341","Italy",91,90
"342","US",91,60
"343","Italy",91,115
"344","US",91,55
"345","Portugal",91,30
"346","Portugal",91,14
"347","US",91,48
"348","US",91,40
"349","Germany",91,39
"350","Italy",91,60
"351","US",91,50
"352","US",91,48
"353","France",91,54
"354","Portugal",91,42
"355","US",91,50
"356","Israel",91,40
"357","US",91,40
"358","US",91,42
"359","Italy",91,85
"360","Spain",91,32
"361","US",90,41
"362","US",90,27
"363","US",90,29
"364","France",90,33
"365","France",90,70
"366","US",90,19
"367","Italy",90,22
"368","Germany",90,25
"369","France",90,27
"370","France",90,22
"371","France",90,30
"372","US",90,15
"373","US",90,45
"374","France",90,80
"375","Italy",90,NA
"376","Italy",90,NA
"377","US",90,18
"378","Italy",90,19
"379","Germany",90,31
"380","US",90,15
"381","US",90,15
"382","US",90,24
"383","US",90,80
"384","Spain",90,35
"385","Germany",90,40
"386","Spain",90,28
"387","US",90,50
"388","US",90,28
"389","US",90,36
"390","US",90,40
"391","US",90,50
"392","US",90,75
"393","Italy",90,60
"394","US",90,46
"395","Canada",90,70
"396","Spain",90,26
"397","France",90,NA
"398","Italy",90,60
"399","Italy",90,75
"400","Moldova",90,32
"401","Italy",90,95
"402","Italy",90,60
"403","Italy",90,70
"404","US",90,20
"405","France",90,27
"406","France",90,20
"407","US",90,75
"408","US",90,28
"409","US",90,60
"410","US",90,22
"411","Spain",90,49
"412","Hungary",90,35
"413","Italy",90,90
"414","US",90,30
"415","US",90,35
"416","US",90,38
"417","US",90,22
"418","Italy",90,30
"419","Italy",90,32
"420","Italy",90,35
"421","US",87,36
"422","US",87,30
"423","US",87,20
"424","US",87,32
"425","Spain",87,18
"426","Spain",87,27
"427","US",87,20
"428","France",87,NA
"429","US",87,30
"430","US",87,20
"431","US",87,23
"432","US",87,22
"433","Italy",87,75
"434","Italy",87,98
"435","France",87,NA
"436","US",87,20
"437","US",87,22
"438","US",87,16
"439","Italy",87,28
"440","Spain",87,25
"441","Italy",87,17
"442","US",87,17
"443","Spain",87,15
"444","Spain",87,16
"445","Spain",87,15
"446","US",87,38
"447","Spain",87,28
"448","Italy",87,52
"449","Italy",87,58
"450","Italy",87,60
"451","Portugal",86,15
"452","Italy",86,15
"453","US",86,26
"454","US",86,32
"455","Portugal",86,10
"456","Argentina",86,10
"457","US",86,18
"458","Portugal",86,12
"459","US",86,35
"460","US",86,34
"461","Argentina",86,23
"462","South Africa",86,20
"463","US",86,31
"464","US",86,24
"465","US",86,12
"466","US",86,18
"467","France",86,10
"468","Argentina",86,15
"469","US",86,24
"470","Argentina",86,14
"471","US",86,14
"472","Portugal",86,15
"473","US",86,38
"474","Portugal",86,13
"475","US",86,12
"476","US",86,32
"477","France",86,15
"478","US",86,28
"479","Portugal",86,NA
"480","Portugal",86,30
"481","US",89,49
"482","Greece",89,17
"483","France",89,11
"484","Italy",89,43
"485","France",89,19
"486","France",89,28
"487","Germany",89,26
"488","Italy",89,NA
"489","US",89,35
"490","US",89,30
"491","Italy",89,55
"492","France",89,NA
"493","US",89,46
"494","US",89,50
"495","US",89,43
"496","Portugal",89,45
"497","US",89,39
"498","Italy",89,30
"499","Italy",89,45
"500","Spain",89,23
"501","France",89,15
"502","US",89,65
"503","Chile",89,19
"504","US",89,35
"505","US",89,60
"506","US",89,44
"507","Spain",89,25
"508","Italy",89,30
"509","Spain",89,12
"510","Spain",89,18
"511","US",92,30
"512","France",92,NA
"513","Portugal",92,23
"514","US",92,45
"515","US",92,125
"516","US",92,98
"517","US",92,40
"518","Canada",92,17
"519","US",92,60
"520","Portugal",92,70
"521","US",92,68
"522","Portugal",92,40
"523","US",92,32
"524","US",92,45
"525","US",92,66
"526","France",92,29
"527","France",92,63
"528","US",92,32
"529","US",92,55
"530","Hungary",92,16
"531","Italy",92,45
"532","US",92,20
"533","Italy",92,50
"534","France",92,18
"535","Portugal",92,23
"536","France",92,NA
"537","US",92,32
"538","Chile",92,30
"539","US",92,35
"540","US",92,44
"541","US",90,24
"542","US",90,20
"543","Germany",90,22
"544","France",90,50
"545","France",90,45
"546","US",90,23
"547","US",90,49
"548","Germany",90,17
"549","US",90,35
"550","Italy",90,NA
"551","France",90,59
"552","France",90,24
"553","France",90,NA
"554","France",90,20
"555","France",90,20
"556","US",90,18
"557","Italy",90,NA
"558","US",90,42
"559","Italy",90,22
"560","Greece",90,20
"561","US",90,48
"562","US",90,30
"563","Italy",90,NA
"564","US",90,40
"565","Spain",90,20
"566","Spain",90,17
"567","US",90,22
"568","Germany",90,31
"569","US",90,15
"570","US",90,15
"571","US",94,62
"572","US",94,49
"573","France",94,25
"574","US",94,95
"575","US",94,55
"576","US",94,48
"577","Italy",94,35
"578","France",94,40
"579","US",94,68
"580","US",94,90
"581","France",93,25
"582","US",93,60
"583","Austria",93,21
"584","US",93,125
"585","US",93,85
"586","US",93,60
"587","Spain",93,64
"588","Austria",93,19
"589","Austria",93,25
"590","US",93,55
"591","US",93,58
"592","US",93,48
"593","US",93,40
"594","US",93,60
"595","US",93,120
"596","Austria",93,NA
"597","US",93,100
"598","US",93,34
"599","Spain",93,91
"600","France",93,36
"601","US",91,40
"602","US",91,20
"603","US",91,55
"604","Portugal",91,19
"605","Italy",91,26
"606","US",91,45
"607","Germany",91,36
"608","Germany",91,23
"609","Germany",91,25
"610","Germany",91,21
"611","Germany",91,28
"612","Italy",91,41
"613","US",91,26
"614","Portugal",91,NA
"615","US",91,28
"616","France",91,NA
"617","US",91,38
"618","US",91,44
"619","US",91,45
"620","Germany",91,25
"621","Germany",91,38
"622","Germany",91,22
"623","Germany",91,26
"624","Germany",91,23
"625","Germany",91,23
"626","US",91,50
"627","Italy",91,21
"628","France",91,25
"629","Portugal",91,16
"630","France",91,60
"631","US",90,38
"632","Australia",90,20
"633","Italy",90,75
"634","Portugal",90,33
"635","Italy",90,75
"636","US",90,64
"637","US",90,18
"638","Italy",90,75
"639","Italy",90,30
"640","Italy",90,42
"641","Italy",90,18
"642","Spain",90,20
"643","US",90,40
"644","France",90,25
"645","Portugal",90,19
"646","US",90,18
"647","US",90,30
"648","France",90,13
"649","France",90,45
"650","Germany",90,30
"651","US",90,111
"652","Italy",90,35
"653","US",90,32
"654","Italy",90,88
"655","US",90,57
"656","US",90,34
"657","US",90,24
"658","Italy",90,45
"659","Italy",90,74
"660","Italy",90,NA
"661","Australia",88,42
"662","France",88,27
"663","Argentina",88,25
"664","France",88,35
"665","US",88,45
"666","US",88,30
"667","France",88,26
"668","US",88,39
"669","France",88,25
"670","Italy",88,80
"671","US",88,55
"672","US",88,22
"673","France",88,28
"674","US",88,25
"675","US",88,48
"676","US",88,19
"677","Croatia",88,19
"678","Italy",88,77
"679","US",88,18
"680","France",88,25
"681","France",88,NA
"682","France",88,NA
"683","France",88,18
"684","US",88,18
"685","France",88,NA
"686","US",88,65
"687","US",88,25
"688","US",88,48
"689","France",88,20
"690","Spain",88,11
"691","US",90,55
"692","Spain",90,35
"693","Bulgaria",90,26
"694","US",90,46
"695","US",90,55
"696","US",90,30
"697","US",90,25
"698","US",90,27
"699","US",90,28
"700","Italy",90,62
"701","US",90,48
"702","Italy",90,80
"703","US",90,36
"704","US",90,48
"705","US",90,60
"706","Canada",90,24
"707","US",90,42
"708","US",90,45
"709","US",90,39
"710","US",90,25
"711","US",90,40
"712","Slovenia",90,40
"713","US",90,40
"714","Italy",90,60
"715","Canada",90,19
"716","US",90,85
"717","Spain",90,26
"718","Italy",90,25
"719","US",90,15
"720","France",90,24
"721","US",86,18
"722","South Africa",86,35
"723","Argentina",86,26
"724","Argentina",86,39
"725","South Africa",86,11
"726","US",85,15
"727","France",85,9
"728","France",85,16
"729","US",85,15
"730","France",85,18
"731","Italy",85,9
"732","Portugal",85,11
"733","France",85,12
"734","France",85,14
"735","South Africa",85,10
"736","US",85,12
"737","US",85,18
"738","Argentina",85,14
"739","Italy",85,10
"740","Argentina",85,13
"741","Portugal",85,10
"742","South Africa",85,20
"743","Argentina",85,30
"744","Spain",85,50
"745","South Africa",85,16
"746","France",85,11
"747","Argentina",85,15
"748","US",85,65
"749","Bulgaria",85,9
"750","Israel",85,30
"751","France",89,NA
"752","Spain",89,26
"753","US",89,20
"754","US",89,25
"755","US",89,36
"756","France",89,14
"757","US",89,36
"758","Italy",89,23
"759","US",89,30
"760","Italy",89,28
"761","Chile",89,20
"762","US",89,36
"763","US",89,45
"764","US",89,20
"765","Chile",89,20
"766","Italy",89,45
"767","Chile",89,20
"768","US",89,28
"769","US",89,42
"770","Italy",89,110
"771","Chile",89,25
"772","US",89,14
"773","US",89,18
"774","US",89,39
"775","Italy",89,90
"776","Portugal",89,18
"777","Portugal",89,7
"778","Portugal",89,17
"779","Chile",89,17
"780","France",89,20
"781","Italy",87,50
"782","Italy",87,87
"783","US",87,28
"784","Italy",87,NA
"785","US",87,36
"786","France",87,NA
"787","France",87,NA
"788","France",87,35
"789","France",87,NA
"790","France",87,30
"791","US",87,28
"792","Italy",87,20
"793","US",87,18
"794","US",87,32
"795","US",87,28
"796","France",87,NA
"797","US",87,26
"798","US",87,32
"799","US",87,11
"800","US",87,26
"801","US",87,19
"802","US",87,22
"803","US",87,28
"804","US",87,28
"805","US",87,20
"806","US",87,25
"807","US",87,16
"808","US",87,18
"809","US",87,25
"810","France",87,10
"811","Italy",90,22
"812","Greece",90,20
"813","US",90,48
"814","US",90,30
"815","Italy",90,NA
"816","France",90,59
"817","France",90,24
"818","France",90,NA
"819","France",90,20
"820","France",90,20
"821","Italy",90,NA
"822","US",90,18
"823","US",90,70
"824","US",90,25
"825","Italy",90,36
"826","Australia",90,65
"827","US",90,42
"828","US",90,50
"829","US",90,28
"830","US",90,22
"831","US",90,26
"832","US",90,80
"833","US",90,28
"834","Chile",90,24
"835","Spain",90,21
"836","US",90,50
"837","US",90,40
"838","US",90,22
"839","Germany",90,30
"840","US",90,50
"841","US",90,55
"842","Spain",90,35
"843","US",90,37
"844","US",90,42
"845","Spain",90,25
"846","US",90,60
"847","US",90,27
"848","France",90,45
"849","France",90,20
"850","France",90,NA
"851","US",90,48
"852","Canada",90,38
"853","Bulgaria",90,28
"854","France",90,80
"855","France",90,19
"856","US",90,45
"857","Italy",90,56
"858","France",90,24
"859","Spain",90,36
"860","Spain",90,26
"861","Italy",90,25
"862","US",90,15
"863","Italy",90,22
"864","Italy",90,20
"865","Spain",90,30
"866","Italy",90,30
"867","Italy",90,18
"868","Italy",90,22
"869","Italy",90,28
"870","US",90,40
"871","US",92,35
"872","US",92,44
"873","US",92,32
"874","Chile",92,30
"875","Italy",92,113
"876","France",92,30
"877","Italy",92,92
"878","Italy",92,75
"879","US",92,50
"880","US",92,27
"881","Italy",92,49
"882","Italy",92,19
"883","Portugal",92,11
"884","Portugal",92,44
"885","France",92,24
"886","US",92,15
"887","US",92,35
"888","US",92,33
"889","US",92,140
"890","US",92,35
"891","US",92,75
"892","US",92,40
"893","Chile",92,100
"894","US",92,21
"895","US",92,80
"896","US",92,28
"897","US",92,40
"898","Italy",92,40
"899","Italy",92,500
"900","France",92,55
"901","Argentina",93,40
"902","US",93,40
"903","US",93,65
"904","France",93,65
"905","US",93,NA
"906","US",93,28
"907","US",93,51
"908","France",93,50
"909","France",93,34
"910","France",93,50
"911","France",93,30
"912","France",93,40
"913","US",93,30
"914","US",93,45
"915","US",93,32
"916","US",93,125
"917","US",93,150
"918","US",93,60
"919","US",93,70
"920","Spain",93,30
"921","US",93,60
"922","US",93,80
"923","France",93,25
"924","US",93,32
"925","Spain",93,61
"926","US",93,60
"927","US",93,45
"928","US",93,60
"929","US",93,80
"930","US",93,85
"931","Italy",89,90
"932","Portugal",89,18
"933","Portugal",89,7
"934","Portugal",89,17
"935","France",89,18
"936","US",89,39
"937","Chile",89,17
"938","France",89,20
"939","Chile",89,22
"940","US",89,25
"941","Spain",89,50
"942","US",89,31
"943","Germany",89,25
"944","Chile",89,26
"945","Italy",89,27
"946","US",89,25
"947","Italy",89,22
"948","US",89,18
"949","Chile",89,20
"950","Italy",89,65
"951","Portugal",89,60
"952","Italy",89,52
"953","US",89,25
"954","US",89,65
"955","Italy",89,240
"956","Italy",89,35
"957","US",89,40
"958","Portugal",89,18
"959","US",89,26
"960","Greece",89,13
"961","Italy",90,NA
"962","US",90,28
"963","Portugal",90,18
"964","US",90,40
"965","Spain",90,35
"966","Italy",90,38
"967","Israel",90,20
"968","US",90,72
"969","Germany",90,60
"970","US",90,44
"971","Israel",90,15
"972","Italy",90,70
"973","Portugal",90,30
"974","US",90,36
"975","Israel",90,40
"976","US",90,70
"977","US",90,48
"978","Israel",90,55
"979","Italy",90,42
"980","US",90,125
"981","Italy",90,110
"982","Italy",90,103
"983","Italy",90,100
"984","Italy",90,40
"985","Italy",90,68
"986","Spain",90,24
"987","Italy",90,52
"988","Australia",90,65
"989","US",90,37
"990","US",90,28
"991","Italy",85,NA
"992","US",85,13
"993","Israel",85,30
"994","Portugal",85,10
"995","Portugal",85,9
"996","Portugal",85,7
"997","Portugal",85,12
"998","France",85,15
"999","France",85,9
"1000","Argentina",85,11
"1001","Portugal",85,28
"1002","US",85,20
"1003","US",85,18
"1004","Portugal",85,11
"1005","Portugal",85,7
"1006","Portugal",85,8
"1007","South Africa",85,22
"1008","Argentina",85,12
"1009","South Africa",85,10
"1010","France",85,16
"1011","US",85,100
"1012","South Africa",85,15
"1013","France",85,16
"1014","France",85,12
"1015","France",85,15
"1016","Portugal",85,10
"1017","Portugal",85,9
"1018","France",85,12
"1019","US",85,30
"1020","Italy",85,NA
"1021","Germany",91,17
"1022","US",91,65
"1023","Italy",91,NA
"1024","US",91,32
"1025","France",91,24
"1026","Portugal",91,35
"1027","Portugal",91,17
"1028","Portugal",91,22
"1029","US",91,36
"1030","US",91,43
"1031","Portugal",91,28
"1032","Portugal",91,75
"1033","Germany",91,20
"1034","Portugal",91,30
"1035","France",91,NA
"1036","France",91,NA
"1037","Germany",91,24
"1038","Chile",91,100
"1039","Chile",91,30
"1040","Italy",91,26
"1041","US",91,65
"1042","Chile",91,100
"1043","Italy",91,30
"1044","Portugal",91,NA
"1045","US",91,48
"1046","Portugal",91,NA
"1047","Portugal",91,26
"1048","Portugal",91,NA
"1049","Portugal",91,16
"1050","US",91,42
"1051","Italy",88,60
"1052","Italy",88,56
"1053","US",88,19
"1054","US",88,21
"1055","US",88,20
"1056","US",88,25
"1057","US",88,72
"1058","Argentina",88,18
"1059","US",88,70
"1060","Argentina",88,29
"1061","Portugal",88,35
"1062","Bulgaria",88,10
"1063","US",88,26
"1064","Italy",88,28
"1065","Argentina",88,12
"1066","Spain",88,25
"1067","Australia",88,25
"1068","US",88,19
"1069","Croatia",88,27
"1070","US",88,12
"1071","France",88,15
"1072","Romania",88,9
"1073","US",88,22
"1074","France",88,37
"1075","US",88,19
"1076","France",88,NA
"1077","Italy",88,NA
"1078","US",88,40
"1079","Italy",88,NA
"1080","US",88,70
"1081","US",87,34
"1082","US",87,38
"1083","US",87,14
"1084","US",87,20
"1085","US",87,30
"1086","US",87,40
"1087","Spain",87,15
"1088","France",87,20
"1089","France",87,NA
"1090","US",87,25
"1091","France",87,35
"1092","France",87,NA
"1093","France",87,20
"1094","US",87,23
"1095","US",87,24
"1096","US",87,16
"1097","Italy",87,24
"1098","US",87,20
"1099","US",87,12
"1100","US",87,20
"1101","US",87,28
"1102","France",87,27
"1103","US",87,22
"1104","US",87,50
"1105","US",87,28
"1106","US",87,25
"1107","US",87,40
"1108","US",87,18
"1109","Italy",87,23
"1110","US",87,14
"1111","Spain",90,15
"1112","US",90,26
"1113","Spain",90,20
"1114","US",90,20
"1115","US",90,50
"1116","Italy",90,NA
"1117","France",90,NA
"1118","France",90,56
"1119","France",90,NA
"1120","US",90,42
"1121","Chile",90,27
"1122","Germany",90,30
"1123","US",90,28
"1124","US",90,32
"1125","France",90,35
"1126","Germany",90,19
"1127","France",90,70
"1128","US",90,25
"1129","US",90,40
"1130","US",90,90
"1131","US",90,45
"1132","US",90,19
"1133","US",90,25
"1134","",90,17
"1135","France",90,15
"1136","France",90,45
"1137","France",90,21
"1138","US",90,22
"1139","US",90,56
"1140","Slovenia",90,15
"1141","Italy",90,NA
"1142","Italy",90,70
"1143","US",90,40
"1144","US",90,85
"1145","US",90,24
"1146","US",90,26
"1147","US",90,46
"1148","US",90,24
"1149","Italy",90,85
"1150","Moldova",90,32
"1151","US",90,36
"1152","US",90,16
"1153","France",90,35
"1154","Italy",90,80
"1155","US",90,20
"1156","US",90,15
"1157","India",90,13
"1158","US",90,20
"1159","US",90,75
"1160","US",90,55
"1161","Italy",90,22
"1162","Italy",90,20
"1163","Spain",90,30
"1164","Italy",90,30
"1165","Italy",90,18
"1166","Italy",90,22
"1167","US",90,35
"1168","US",90,48
"1169","France",90,43
"1170","US",90,18
"1171","US",93,32
"1172","New Zealand",93,46
"1173","France",93,40
"1174","France",93,20
"1175","US",93,55
"1176","US",93,94
"1177","US",93,40
"1178","US",93,37
"1179","US",93,44
"1180","Austria",93,NA
"1181","US",93,50
"1182","Austria",93,27
"1183","US",93,32
"1184","Argentina",93,38
"1185","New Zealand",93,33
"1186","New Zealand",93,40
"1187","US",93,36
"1188","US",93,35
"1189","US",93,60
"1190","Spain",93,37
"1191","Spain",93,44
"1192","Spain",93,136
"1193","France",93,52
"1194","US",93,48
"1195","Italy",93,80
"1196","US",93,30
"1197","US",93,32
"1198","Austria",93,NA
"1199","Austria",93,19
"1200","US",93,65
"1201","US",90,50
"1202","US",90,32
"1203","Germany",90,23
"1204","Italy",90,NA
"1205","Italy",90,44
"1206","Israel",90,40
"1207","Portugal",90,13
"1208","US",90,15
"1209","Italy",90,NA
"1210","US",90,50
"1211","Germany",90,22
"1212","France",90,141
"1213","France",90,74
"1214","US",90,100
"1215","Italy",90,102
"1216","Italy",90,80
"1217","Italy",90,35
"1218","Italy",90,55
"1219","Italy",90,50
"1220","Israel",90,38
"1221","US",90,42
"1222","US",90,26
"1223","France",90,65
"1224","Italy",90,70
"1225","Italy",90,60
"1226","US",90,50
"1227","US",90,44
"1228","US",90,60
"1229","US",90,20
"1230","US",90,45
"1231","France",92,34
"1232","US",92,55
"1233","US",92,75
"1234","US",92,34
"1235","Portugal",92,17
"1236","France",92,25
"1237","France",92,30
"1238","France",92,47
"1239","France",92,49
"1240","France",92,26
"1241","Portugal",92,53
"1242","France",92,65
"1243","France",92,40
"1244","Italy",92,34
"1245","Italy",92,55
"1246","US",92,60
"1247","US",92,100
"1248","US",92,39
"1249","Portugal",92,25
"1250","US",92,42
"1251","US",92,65
"1252","Chile",92,85
"1253","US",92,43
"1254","Portugal",92,35
"1255","US",92,100
"1256","US",92,70
"1257","US",92,80
"1258","Portugal",92,25
"1259","Italy",92,65
"1260","France",92,65
"1261","Portugal",85,15
"1262","South Africa",85,10
"1263","South Africa",85,15
"1264","France",85,63
"1265","Argentina",85,35
"1266","South Africa",85,10
"1267","US",85,32
"1268","France",85,NA
"1269","US",85,18
"1270","France",85,11
"1271","France",85,9
"1272","France",85,12
"1273","US",85,18
"1274","US",85,52
"1275","Portugal",85,15
"1276","Portugal",85,15
"1277","US",85,27
"1278","Spain",85,30
"1279","US",85,15
"1280","Argentina",85,13
"1281","France",85,13
"1282","US",85,25
"1283","France",85,17
"1284","Portugal",85,10
"1285","Portugal",85,7
"1286","Portugal",85,14
"1287","Italy",85,10
"1288","France",85,9
"1289","Portugal",85,10
"1290","US",85,20
"1291","US",87,25
"1292","France",87,35
"1293","France",87,NA
"1294","France",87,20
"1295","US",87,23
"1296","US",87,24
"1297","US",87,16
"1298","US",87,32
"1299","Italy",87,55
"1300","US",87,13
"1301","Italy",87,42
"1302","US",87,74
"1303","Spain",87,15
"1304","US",87,35
"1305","US",87,20
"1306","Argentina",87,11
"1307","Argentina",87,38
"1308","Argentina",87,18
"1309","Italy",87,75
"1310","Spain",87,10
"1311","US",87,18
"1312","Italy",87,40
"1313","France",87,30
"1314","France",87,NA
"1315","France",87,40
"1316","France",87,13
"1317","France",87,19
"1318","France",87,25
"1319","US",87,21
"1320","US",87,18
"1321","Spain",89,34
"1322","Italy",89,32
"1323","US",89,33
"1324","France",89,22
"1325","Portugal",89,12
"1326","France",89,26
"1327","US",89,22
"1328","France",89,13
"1329","Germany",89,45
"1330","Spain",88,25
"1331","Spain",88,22
"1332","Greece",88,19
"1333","US",88,20
"1334","US",88,96
"1335","France",88,NA
"1336","US",88,28
"1337","US",88,19
"1338","US",88,26
"1339","Italy",88,17
"1340","Italy",88,35
"1341","Portugal",88,20
"1342","France",88,18
"1343","US",88,34
"1344","US",88,14
"1345","US",88,28
"1346","US",88,66
"1347","US",88,25
"1348","US",88,28
"1349","US",88,28
"1350","Chile",88,13
"1351","France",91,NA
"1352","US",91,24
"1353","Italy",91,25
"1354","US",91,36
"1355","Germany",91,18
"1356","Chile",91,23
"1357","US",91,28
"1358","Portugal",91,40
"1359","France",91,78
"1360","US",91,43
"1361","France",91,65
"1362","US",91,44
"1363","US",91,50
"1364","US",91,56
"1365","France",91,NA
"1366","France",91,30
"1367","France",91,NA
"1368","France",91,22
"1369","US",91,48
"1370","Portugal",91,22
