"","country","points"
"127","US",90
"128","US",90
"129","Spain",90
"130","Italy",90
"131","Italy",90
"132","US",90
"133","US",90
"134","US",90
"135","US",90
"136","US",90
"137","US",90
"138","US",90
"139","Spain",90
"140","France",90
"141","France",90
"142","US",90
"143","US",90
"144","US",90
"145","US",90
"146","US",90
"147","US",90
"148","Spain",90
"149","US",90
"150","US",90
"151","US",89
"152","Greece",89
"153","Spain",89
"154","Greece",89
"155","Greece",89
"156","Chile",89
"157","France",89
"158","US",89
"159","Spain",89
"160","Chile",89
"161","US",89
"162","US",89
"163","Spain",89
"164","US",89
"165","US",89
"166","US",89
"167","Italy",89
"168","Italy",89
"169","Portugal",89
"170","US",89
"171","US",89
"172","Chile",89
"173","Greece",89
"174","US",89
"175","France",89
"176","Spain",89
"177","Italy",89
"178","Italy",89
"179","US",89
"180","Chile",89
"181","US",88
"182","US",88
"183","US",88
"184","US",88
"185","Argentina",88
"186","US",88
"187","US",88
"188","US",88
"189","Spain",88
"190","Spain",87
"191","Argentina",87
"192","France",87
"193","France",87
"194","France",87
"195","France",87
"196","France",87
"197","US",87
"198","US",87
"199","US",87
"200","US",87
"201","US",87
"202","US",87
"203","France",87
"204","France",87
"205","US",87
"206","US",87
"207","US",87
"208","US",87
"209","US",87
"210","Spain",87
"211","Portugal",93
"212","Italy",93
"213","US",93
"214","Italy",93
"215","France",93
"216","France",93
"217","Morocco",93
"218","Italy",93
"219","France",93
"220","France",93
"221","US",93
"222","US",93
"223","France",93
"224","US",93
"225","Italy",93
"226","France",93
"227","US",93
"228","US",93
"229","US",93
"230","Portugal",93
"231","US",93
"232","US",93
"233","US",93
"234","US",93
"235","Italy",93
"236","France",92
"237","France",92
"238","France",92
"239","Portugal",92
"240","Italy",92
"241","France",88
"242","France",88
"243","France",88
"244","France",88
"245","France",88
"246","US",88
"247","US",88
"248","Romania",88
"249","US",88
"250","US",88
"251","US",88
"252","Italy",88
"253","US",88
"254","US",88
"255","US",88
"256","Italy",88
"257","US",88
"258","US",88
"259","Italy",88
"260","Spain",88
"261","Spain",88
"262","France",88
"263","US",88
"264","US",88
"265","Italy",88
"266","France",88
"267","US",88
"268","US",88
"269","US",88
"270","Argentina",88
"271","France",92
"272","France",92
"273","US",92
"274","US",92
"275","US",92
"276","US",92
"277","Italy",92
"278","Portugal",92
"279","Portugal",92
"280","US",92
"281","Italy",92
"282","Italy",92
"283","France",92
"284","France",92
"285","US",92
"286","US",92
"287","France",91
"288","France",91
"289","France",91
"290","US",91
"291","France",91
"292","Portugal",91
"293","US",91
"294","US",91
"295","France",91
"296","US",91
"297","Italy",91
"298","Italy",91
"299","US",91
"300","US",91
"301","US",94
"302","US",94
"303","Italy",94
"304","US",94
"305","US",94
"306","New Zealand",94
"307","US",94
"308","US",94
"309","US",94
"310","US",94
"311","US",94
"312","Italy",94
"313","Italy",94
"314","US",94
"315","US",94
"316","US",94
"317","US",94
"318","US",94
"319","France",94
"320","US",94
"321","France",94
"322","Spain",94
"323","France",94
"324","Spain",94
"325","US",94
"326","France",94
"327","Argentina",94
"328","France",94
"329","France",94
"330","US",94
"331","Italy",91
"332","Germany",91
"333","US",91
"334","Spain",91
"335","US",91
"336","Portugal",91
"337","US",91
"338","US",91
"339","US",91
"340","Italy",91
"341","Italy",91
"342","US",91
"343","Italy",91
"344","US",91
"345","Portugal",91
"346","Portugal",91
"347","US",91
"348","US",91
"349","Germany",91
"350","Italy",91
"351","US",91
"352","US",91
"353","France",91
"354","Portugal",91
"355","US",91
"356","Israel",91
"357","US",91
"358","US",91
"359","Italy",91
"360","Spain",91
"361","US",90
"362","US",90
"363","US",90
"364","France",90
"365","France",90
"366","US",90
"367","Italy",90
"368","Germany",90
"369","France",90
"370","France",90
"371","France",90
"372","US",90
"373","US",90
"374","France",90
"375","Italy",90
"376","Italy",90
"377","US",90
"378","Italy",90
"379","Germany",90
"380","US",90
"381","US",90
"382","US",90
"383","US",90
"384","Spain",90
"385","Germany",90
"386","Spain",90
"387","US",90
"388","US",90
"389","US",90
"390","US",90
"391","US",90
"392","US",90
"393","Italy",90
"394","US",90
"395","Canada",90
"396","Spain",90
"397","France",90
"398","Italy",90
"399","Italy",90
"400","Moldova",90
"401","Italy",90
"402","Italy",90
"403","Italy",90
"404","US",90
"405","France",90
"406","France",90
"407","US",90
"408","US",90
"409","US",90
"410","US",90
"411","Spain",90
"412","Hungary",90
"413","Italy",90
"414","US",90
"415","US",90
"416","US",90
"417","US",90
"418","Italy",90
"419","Italy",90
"420","Italy",90
"421","US",87
"422","US",87
"423","US",87
"424","US",87
"425","Spain",87
"426","Spain",87
"427","US",87
"428","France",87
"429","US",87
"430","US",87
"431","US",87
"432","US",87
"433","Italy",87
"434","Italy",87
"435","France",87
"436","US",87
"437","US",87
"438","US",87
"439","Italy",87
"440","Spain",87
"441","Italy",87
"442","US",87
"443","Spain",87
"444","Spain",87
"445","Spain",87
"446","US",87
"447","Spain",87
"448","Italy",87
"449","Italy",87
"450","Italy",87
"451","Portugal",86
"452","Italy",86
"453","US",86
"454","US",86
"455","Portugal",86
"456","Argentina",86
"457","US",86
"458","Portugal",86
"459","US",86
"460","US",86
"461","Argentina",86
"462","South Africa",86
"463","US",86
"464","US",86
"465","US",86
"466","US",86
"467","France",86
"468","Argentina",86
"469","US",86
"470","Argentina",86
"471","US",86
"472","Portugal",86
"473","US",86
"474","Portugal",86
"475","US",86
"476","US",86
"477","France",86
"478","US",86
"479","Portugal",86
"480","Portugal",86
"481","US",89
"482","Greece",89
"483","France",89
"484","Italy",89
"485","France",89
"486","France",89
"487","Germany",89
"488","Italy",89
"489","US",89
"490","US",89
"491","Italy",89
"492","France",89
"493","US",89
"494","US",89
"495","US",89
"496","Portugal",89
"497","US",89
"498","Italy",89
"499","Italy",89
"500","Spain",89
"501","France",89
"502","US",89
"503","Chile",89
"504","US",89
"505","US",89
"506","US",89
"507","Spain",89
"508","Italy",89
"509","Spain",89
"510","Spain",89
"511","US",92
"512","France",92
"513","Portugal",92
"514","US",92
"515","US",92
"516","US",92
"517","US",92
"518","Canada",92
"519","US",92
"520","Portugal",92
"521","US",92
"522","Portugal",92
"523","US",92
"524","US",92
"525","US",92
"526","France",92
"527","France",92
"528","US",92
"529","US",92
"530","Hungary",92
"531","Italy",92
"532","US",92
"533","Italy",92
"534","France",92
"535","Portugal",92
"536","France",92
"537","US",92
"538","Chile",92
"539","US",92
"540","US",92
"541","US",90
"542","US",90
"543","Germany",90
"544","France",90
"545","France",90
"546","US",90
"547","US",90
"548","Germany",90
"549","US",90
"550","Italy",90
"551","France",90
"552","France",90
"553","France",90
"554","France",90
"555","France",90
"556","US",90
"557","Italy",90
"558","US",90
"559","Italy",90
"560","Greece",90
"561","US",90
"562","US",90
"563","Italy",90
"564","US",90
"565","Spain",90
"566","Spain",90
"567","US",90
"568","Germany",90
"569","US",90
"570","US",90
"571","US",94
"572","US",94
"573","France",94
"574","US",94
"575","US",94
"576","US",94
"577","Italy",94
"578","France",94
"579","US",94
"580","US",94
"581","France",93
"582","US",93
"583","Austria",93
"584","US",93
"585","US",93
"586","US",93
"587","Spain",93
"588","Austria",93
"589","Austria",93
"590","US",93
"591","US",93
"592","US",93
"593","US",93
"594","US",93
"595","US",93
"596","Austria",93
"597","US",93
"598","US",93
"599","Spain",93
"600","France",93
"601","US",91
"602","US",91
"603","US",91
"604","Portugal",91
"605","Italy",91
"606","US",91
"607","Germany",91
"608","Germany",91
"609","Germany",91
"610","Germany",91
"611","Germany",91
"612","Italy",91
"613","US",91
"614","Portugal",91
"615","US",91
"616","France",91
"617","US",91
"618","US",91
"619","US",91
"620","Germany",91
"621","Germany",91
"622","Germany",91
"623","Germany",91
"624","Germany",91
"625","Germany",91
"626","US",91
"627","Italy",91
"628","France",91
"629","Portugal",91
"630","France",91
"631","US",90
"632","Australia",90
"633","Italy",90
"634","Portugal",90
"635","Italy",90
"636","US",90
"637","US",90
"638","Italy",90
"639","Italy",90
"640","Italy",90
"641","Italy",90
"642","Spain",90
"643","US",90
"644","France",90
"645","Portugal",90
"646","US",90
"647","US",90
"648","France",90
"649","France",90
"650","Germany",90
"651","US",90
"652","Italy",90
"653","US",90
"654","Italy",90
"655","US",90
"656","US",90
"657","US",90
"658","Italy",90
"659","Italy",90
"660","Italy",90
"661","Australia",88
"662","France",88
"663","Argentina",88
"664","France",88
"665","US",88
"666","US",88
"667","France",88
"668","US",88
"669","France",88
"670","Italy",88
"671","US",88
"672","US",88
"673","France",88
"674","US",88
"675","US",88
"676","US",88
"677","Croatia",88
"678","Italy",88
"679","US",88
"680","France",88
"681","France",88
"682","France",88
"683","France",88
"684","US",88
"685","France",88
"686","US",88
"687","US",88
"688","US",88
"689","France",88
"690","Spain",88
"691","US",90
"692","Spain",90
"693","Bulgaria",90
"694","US",90
"695","US",90
"696","US",90
"697","US",90
"698","US",90
"699","US",90
"700","Italy",90
"701","US",90
"702","Italy",90
"703","US",90
"704","US",90
"705","US",90
"706","Canada",90
"707","US",90
"708","US",90
"709","US",90
"710","US",90
"711","US",90
"712","Slovenia",90
"713","US",90
"714","Italy",90
"715","Canada",90
"716","US",90
"717","Spain",90
"718","Italy",90
"719","US",90
"720","France",90
"721","US",86
"722","South Africa",86
"723","Argentina",86
"724","Argentina",86
"725","South Africa",86
"726","US",85
"727","France",85
"728","France",85
"729","US",85
"730","France",85
"731","Italy",85
"732","Portugal",85
"733","France",85
"734","France",85
"735","South Africa",85
"736","US",85
"737","US",85
"738","Argentina",85
"739","Italy",85
"740","Argentina",85
"741","Portugal",85
"742","South Africa",85
"743","Argentina",85
"744","Spain",85
"745","South Africa",85
"746","France",85
"747","Argentina",85
"748","US",85
"749","Bulgaria",85
"750","Israel",85
"751","France",89
"752","Spain",89
"753","US",89
"754","US",89
"755","US",89
"756","France",89
"757","US",89
"758","Italy",89
"759","US",89
"760","Italy",89
"761","Chile",89
"762","US",89
"763","US",89
"764","US",89
"765","Chile",89
"766","Italy",89
"767","Chile",89
"768","US",89
"769","US",89
"770","Italy",89
"771","Chile",89
"772","US",89
"773","US",89
"774","US",89
"775","Italy",89
"776","Portugal",89
"777","Portugal",89
"778","Portugal",89
"779","Chile",89
"780","France",89
"781","Italy",87
"782","Italy",87
"783","US",87
"784","Italy",87
"785","US",87
"786","France",87
"787","France",87
"788","France",87
"789","France",87
"790","France",87
"791","US",87
"792","Italy",87
"793","US",87
"794","US",87
"795","US",87
"796","France",87
"797","US",87
"798","US",87
"799","US",87
"800","US",87
"801","US",87
"802","US",87
"803","US",87
"804","US",87
"805","US",87
"806","US",87
"807","US",87
"808","US",87
"809","US",87
"810","France",87
"811","Italy",90
"812","Greece",90
"813","US",90
"814","US",90
"815","Italy",90
"816","France",90
"817","France",90
"818","France",90
"819","France",90
"820","France",90
"821","Italy",90
"822","US",90
"823","US",90
"824","US",90
"825","Italy",90
"826","Australia",90
"827","US",90
"828","US",90
"829","US",90
"830","US",90
"831","US",90
"832","US",90
"833","US",90
"834","Chile",90
"835","Spain",90
"836","US",90
"837","US",90
"838","US",90
"839","Germany",90
"840","US",90
"841","US",90
"842","Spain",90
"843","US",90
"844","US",90
"845","Spain",90
"846","US",90
"847","US",90
"848","France",90
"849","France",90
"850","France",90
"851","US",90
"852","Canada",90
"853","Bulgaria",90
"854","France",90
"855","France",90
"856","US",90
"857","Italy",90
"858","France",90
"859","Spain",90
"860","Spain",90
"861","Italy",90
"862","US",90
"863","Italy",90
"864","Italy",90
"865","Spain",90
"866","Italy",90
"867","Italy",90
"868","Italy",90
"869","Italy",90
"870","US",90
"871","US",92
"872","US",92
"873","US",92
"874","Chile",92
"875","Italy",92
"876","France",92
"877","Italy",92
"878","Italy",92
"879","US",92
"880","US",92
"881","Italy",92
"882","Italy",92
"883","Portugal",92
"884","Portugal",92
"885","France",92
"886","US",92
"887","US",92
"888","US",92
"889","US",92
"890","US",92
"891","US",92
"892","US",92
"893","Chile",92
"894","US",92
"895","US",92
"896","US",92
"897","US",92
"898","Italy",92
"899","Italy",92
"900","France",92
"901","Argentina",93
"902","US",93
"903","US",93
"904","France",93
"905","US",93
"906","US",93
"907","US",93
"908","France",93
"909","France",93
"910","France",93
"911","France",93
"912","France",93
"913","US",93
"914","US",93
"915","US",93
"916","US",93
"917","US",93
"918","US",93
"919","US",93
"920","Spain",93
"921","US",93
"922","US",93
"923","France",93
"924","US",93
"925","Spain",93
"926","US",93
"927","US",93
"928","US",93
"929","US",93
"930","US",93
"931","Italy",89
"932","Portugal",89
"933","Portugal",89
"934","Portugal",89
"935","France",89
"936","US",89
"937","Chile",89
"938","France",89
"939","Chile",89
"940","US",89
"941","Spain",89
"942","US",89
"943","Germany",89
"944","Chile",89
"945","Italy",89
"946","US",89
"947","Italy",89
"948","US",89
"949","Chile",89
"950","Italy",89
"951","Portugal",89
"952","Italy",89
"953","US",89
"954","US",89
"955","Italy",89
"956","Italy",89
"957","US",89
"958","Portugal",89
"959","US",89
"960","Greece",89
"961","Italy",90
"962","US",90
"963","Portugal",90
"964","US",90
"965","Spain",90
"966","Italy",90
"967","Israel",90
"968","US",90
"969","Germany",90
"970","US",90
"971","Israel",90
"972","Italy",90
"973","Portugal",90
"974","US",90
"975","Israel",90
"976","US",90
"977","US",90
"978","Israel",90
"979","Italy",90
"980","US",90
"981","Italy",90
"982","Italy",90
"983","Italy",90
"984","Italy",90
"985","Italy",90
"986","Spain",90
"987","Italy",90
"988","Australia",90
"989","US",90
"990","US",90
"991","Italy",85
"992","US",85
"993","Israel",85
"994","Portugal",85
"995","Portugal",85
"996","Portugal",85
"997","Portugal",85
"998","France",85
"999","France",85
"1000","Argentina",85
"1001","Portugal",85
"1002","US",85
"1003","US",85
"1004","Portugal",85
"1005","Portugal",85
"1006","Portugal",85
"1007","South Africa",85
"1008","Argentina",85
"1009","South Africa",85
"1010","France",85
"1011","US",85
"1012","South Africa",85
"1013","France",85
"1014","France",85
"1015","France",85
"1016","Portugal",85
"1017","Portugal",85
"1018","France",85
"1019","US",85
"1020","Italy",85
"1021","Germany",91
"1022","US",91
"1023","Italy",91
"1024","US",91
"1025","France",91
"1026","Portugal",91
"1027","Portugal",91
"1028","Portugal",91
"1029","US",91
"1030","US",91
"1031","Portugal",91
"1032","Portugal",91
"1033","Germany",91
"1034","Portugal",91
"1035","France",91
"1036","France",91
"1037","Germany",91
"1038","Chile",91
"1039","Chile",91
"1040","Italy",91
"1041","US",91
"1042","Chile",91
"1043","Italy",91
"1044","Portugal",91
"1045","US",91
"1046","Portugal",91
"1047","Portugal",91
"1048","Portugal",91
"1049","Portugal",91
"1050","US",91
"1051","Italy",88
"1052","Italy",88
"1053","US",88
"1054","US",88
"1055","US",88
"1056","US",88
"1057","US",88
"1058","Argentina",88
"1059","US",88
"1060","Argentina",88
"1061","Portugal",88
"1062","Bulgaria",88
"1063","US",88
"1064","Italy",88
"1065","Argentina",88
"1066","Spain",88
"1067","Australia",88
"1068","US",88
"1069","Croatia",88
"1070","US",88
"1071","France",88
"1072","Romania",88
"1073","US",88
"1074","France",88
"1075","US",88
"1076","France",88
"1077","Italy",88
"1078","US",88
"1079","Italy",88
"1080","US",88
"1081","US",87
"1082","US",87
"1083","US",87
"1084","US",87
"1085","US",87
"1086","US",87
"1087","Spain",87
"1088","France",87
"1089","France",87
"1090","US",87
"1091","France",87
"1092","France",87
"1093","France",87
"1094","US",87
"1095","US",87
"1096","US",87
"1097","Italy",87
"1098","US",87
"1099","US",87
"1100","US",87
"1101","US",87
"1102","France",87
"1103","US",87
"1104","US",87
"1105","US",87
"1106","US",87
"1107","US",87
"1108","US",87
"1109","Italy",87
"1110","US",87
"1111","Spain",90
"1112","US",90
"1113","Spain",90
"1114","US",90
"1115","US",90
"1116","Italy",90
"1117","France",90
"1118","France",90
"1119","France",90
"1120","US",90
"1121","Chile",90
"1122","Germany",90
"1123","US",90
"1124","US",90
"1125","France",90
"1126","Germany",90
"1127","France",90
"1128","US",90
"1129","US",90
"1130","US",90
"1131","US",90
"1132","US",90
"1133","US",90
"1134","",90
"1135","France",90
"1136","France",90
"1137","France",90
"1138","US",90
"1139","US",90
"1140","Slovenia",90
"1141","Italy",90
"1142","Italy",90
"1143","US",90
"1144","US",90
"1145","US",90
"1146","US",90
"1147","US",90
"1148","US",90
"1149","Italy",90
"1150","Moldova",90
"1151","US",90
"1152","US",90
"1153","France",90
"1154","Italy",90
"1155","US",90
"1156","US",90
"1157","India",90
"1158","US",90
"1159","US",90
"1160","US",90
"1161","Italy",90
"1162","Italy",90
"1163","Spain",90
"1164","Italy",90
"1165","Italy",90
"1166","Italy",90
"1167","US",90
"1168","US",90
"1169","France",90
"1170","US",90
"1171","US",93
"1172","New Zealand",93
"1173","France",93
"1174","France",93
"1175","US",93
"1176","US",93
"1177","US",93
"1178","US",93
"1179","US",93
"1180","Austria",93
"1181","US",93
"1182","Austria",93
"1183","US",93
"1184","Argentina",93
"1185","New Zealand",93
"1186","New Zealand",93
"1187","US",93
"1188","US",93
"1189","US",93
"1190","Spain",93
"1191","Spain",93
"1192","Spain",93
"1193","France",93
"1194","US",93
"1195","Italy",93
"1196","US",93
"1197","US",93
"1198","Austria",93
"1199","Austria",93
"1200","US",93
"1201","US",90
"1202","US",90
"1203","Germany",90
"1204","Italy",90
"1205","Italy",90
"1206","Israel",90
"1207","Portugal",90
"1208","US",90
"1209","Italy",90
"1210","US",90
"1211","Germany",90
"1212","France",90
"1213","France",90
"1214","US",90
"1215","Italy",90
"1216","Italy",90
"1217","Italy",90
"1218","Italy",90
"1219","Italy",90
"1220","Israel",90
"1221","US",90
"1222","US",90
"1223","France",90
"1224","Italy",90
"1225","Italy",90
"1226","US",90
"1227","US",90
"1228","US",90
"1229","US",90
"1230","US",90
"1231","France",92
"1232","US",92
"1233","US",92
"1234","US",92
"1235","Portugal",92
"1236","France",92
"1237","France",92
"1238","France",92
"1239","France",92
"1240","France",92
"1241","Portugal",92
"1242","France",92
"1243","France",92
"1244","Italy",92
"1245","Italy",92
"1246","US",92
"1247","US",92
"1248","US",92
"1249","Portugal",92
"1250","US",92
"1251","US",92
"1252","Chile",92
"1253","US",92
"1254","Portugal",92
"1255","US",92
"1256","US",92
"1257","US",92
"1258","Portugal",92
"1259","Italy",92
"1260","France",92
"1261","Portugal",85
"1262","South Africa",85
"1263","South Africa",85
"1264","France",85
"1265","Argentina",85
"1266","South Africa",85
"1267","US",85
"1268","France",85
"1269","US",85
"1270","France",85
"1271","France",85
"1272","France",85
"1273","US",85
"1274","US",85
"1275","Portugal",85
"1276","Portugal",85
"1277","US",85
"1278","Spain",85
"1279","US",85
"1280","Argentina",85
"1281","France",85
"1282","US",85
"1283","France",85
"1284","Portugal",85
"1285","Portugal",85
"1286","Portugal",85
"1287","Italy",85
"1288","France",85
"1289","Portugal",85
"1290","US",85
"1291","US",87
"1292","France",87
"1293","France",87
"1294","France",87
"1295","US",87
"1296","US",87
"1297","US",87
"1298","US",87
"1299","Italy",87
"1300","US",87
"1301","Italy",87
"1302","US",87
"1303","Spain",87
"1304","US",87
"1305","US",87
"1306","Argentina",87
"1307","Argentina",87
"1308","Argentina",87
"1309","Italy",87
"1310","Spain",87
"1311","US",87
"1312","Italy",87
"1313","France",87
"1314","France",87
"1315","France",87
"1316","France",87
"1317","France",87
"1318","France",87
"1319","US",87
"1320","US",87
"1321","Spain",89
"1322","Italy",89
"1323","US",89
"1324","France",89
"1325","Portugal",89
"1326","France",89
"1327","US",89
"1328","France",89
"1329","Germany",89
"1330","Spain",88
"1331","Spain",88
"1332","Greece",88
"1333","US",88
"1334","US",88
"1335","France",88
"1336","US",88
"1337","US",88
"1338","US",88
"1339","Italy",88
"1340","Italy",88
"1341","Portugal",88
"1342","France",88
"1343","US",88
"1344","US",88
"1345","US",88
"1346","US",88
"1347","US",88
"1348","US",88
"1349","US",88
"1350","Chile",88
"1351","France",91
"1352","US",91
"1353","Italy",91
"1354","US",91
"1355","Germany",91
"1356","Chile",91
"1357","US",91
"1358","Portugal",91
"1359","France",91
"1360","US",91
"1361","France",91
"1362","US",91
"1363","US",91
"1364","US",91
"1365","France",91
"1366","France",91
"1367","France",91
"1368","France",91
"1369","US",91
"1370","Portugal",91
"1371","France",91
"1372","France",91
"1373","France",91
"1374","US",91
"1375","Portugal",91
"1376","US",91
"1377","France",91
"1378","Italy",91
"1379","Portugal",91
"1380","Portugal",91
"1381","US",88
"1382","Spain",88
"1383","US",88
"1384","Argentina",88
"1385","France",88
"1386","US",88
"1387","Italy",88
"1388","US",88
"1389","Italy",88
"1390","US",88
"1391","France",88
"1392","US",88
"1393","Argentina",88
"1394","US",88
"1395","US",88
"1396","US",88
"1397","France",88
"1398","US",88
"1399","US",88
"1400","Italy",88
"1401","Spain",88
"1402","Spain",88
"1403","US",88
"1404","US",88
"1405","US",88
"1406","US",88
"1407","Spain",88
"1408","Italy",88
"1409","US",88
"1410","US",88
"1411","Italy",90
"1412","US",90
"1413","Hungary",90
"1414","US",90
"1415","US",90
"1416","Italy",90
"1417","US",90
"1418","Greece",90
"1419","US",90
"1420","US",90
"1421","US",90
"1422","US",90
"1423","US",90
"1424","US",90
"1425","France",90
"1426","Italy",90
"1427","US",90
"1428","Germany",90
"1429","US",90
"1430","France",90
"1431","US",90
"1432","US",90
"1433","US",90
"1434","US",90
"1435","US",90
"1436","Spain",90
"1437","Spain",90
"1438","US",90
"1439","Germany",90
"1440","Spain",90
"1441","",90
"1442","Italy",90
"1443","US",90
"1444","France",90
"1445","Italy",90
"1446","US",90
"1447","France",90
"1448","US",90
"1449","US",90
"1450","US",90
"1451","France",90
"1452","France",90
"1453","US",90
"1454","Spain",90
"1455","Spain",90
"1456","US",90
"1457","US",90
"1458","US",90
"1459","US",90
"1460","US",90
"1461","US",90
"1462","Italy",90
"1463","Spain",90
"1464","US",90
"1465","US",90
"1466","US",90
"1467","France",90
"1468","US",90
"1469","US",90
"1470","Hungary",90
"1471","US",90
"1472","US",90
"1473","US",90
"1474","Germany",90
"1475","Italy",90
"1476","Italy",90
"1477","Israel",90
"1478","Argentina",90
"1479","US",90
"1480","Italy",90
"1481","Argentina",90
"1482","Italy",90
"1483","US",90
"1484","Italy",90
"1485","France",90
"1486","France",90
"1487","France",90
"1488","France",90
"1489","France",90
"1490","US",90
"1491","US",90
"1492","Italy",90
"1493","US",90
"1494","Germany",90
"1495","Italy",90
"1496","US",90
"1497","Spain",90
"1498","Portugal",90
"1499","US",90
"1500","US",90
"1501","US",93
"1502","US",93
"1503","US",93
"1504","New Zealand",92
"1505","France",92
"1506","France",92
"1507","France",92
"1508","France",92
"1509","US",92
"1510","US",92
"1511","US",92
"1512","Austria",92
"1513","US",92
"1514","Austria",92
"1515","US",92
"1516","US",92
"1517","US",92
"1518","US",92
"1519","US",92
"1520","France",92
"1521","France",92
"1522","US",92
"1523","US",92
"1524","US",92
"1525","US",92
"1526","US",92
"1527","US",92
"1528","US",92
"1529","US",92
"1530","US",92
"1531","Portugal",85
"1532","Portugal",85
"1533","Portugal",85
"1534","Italy",85
"1535","Italy",85
"1536","US",85
"1537","Argentina",85
"1538","France",85
"1539","Argentina",84
"1540","Portugal",84
"1541","Portugal",84
"1542","US",84
"1543","Portugal",84
"1544","Portugal",84
"1545","France",84
"1546","Argentina",84
"1547","Spain",84
"1548","US",84
"1549","Portugal",84
"1550","US",84
"1551","France",84
"1552","US",84
"1553","Argentina",84
"1554","US",84
"1555","South Africa",84
"1556","Argentina",84
"1557","South Africa",84
"1558","Spain",84
"1559","Portugal",84
"1560","Portugal",84
"1561","US",92
"1562","US",92
"1563","US",92
"1564","US",92
"1565","Portugal",92
"1566","US",92
"1567","US",92
"1568","Portugal",92
"1569","US",92
"1570","US",92
"1571","US",92
"1572","France",91
"1573","France",91
"1574","France",91
"1575","Chile",91
"1576","US",91
"1577","US",91
"1578","US",91
"1579","Chile",91
"1580","US",91
"1581","Portugal",91
"1582","US",91
"1583","France",91
"1584","US",91
"1585","US",91
"1586","US",91
"1587","Portugal",91
"1588","US",91
"1589","Portugal",91
"1590","France",91
"1591","US",87
"1592","US",87
"1593","US",87
"1594","US",87
"1595","Italy",87
"1596","US",87
"1597","Argentina",87
"1598","US",87
"1599","Italy",87
"1600","Italy",87
"1601","Italy",87
"1602","Italy",87
"1603","Italy",87
"1604","Italy",87
"1605","US",87
"1606","Argentina",87
"1607","US",87
"1608","US",87
"1609","France",87
"1610","Spain",87
"1611","US",87
"1612","US",87
"1613","US",87
"1614","US",87
"1615","US",87
"1616","US",87
"1617","US",87
"1618","US",87
"1619","US",87
"1620","US",87
"1621","France",91
"1622","France",91
"1623","France",91
"1624","Italy",90
"1625","US",90
"1626","US",90
"1627","US",90
"1628","US",90
"1629","US",90
"1630","US",90
"1631","US",90
"1632","US",90
"1633","Italy",90
"1634","France",90
"1635","France",90
"1636","France",90
"1637","France",90
"1638","Italy",90
"1639","Italy",90
"1640","US",90
"1641","Portugal",90
"1642","Portugal",90
"1643","US",90
"1644","Portugal",90
"1645","US",90
"1646","US",90
"1647","Germany",90
"1648","Germany",90
"1649","Germany",90
"1650","Germany",90
"1651","US",88
"1652","US",88
"1653","US",88
"1654","US",88
"1655","US",88
"1656","US",88
"1657","Italy",88
"1658","Italy",88
"1659","Italy",88
"1660","Portugal",88
"1661","Chile",88
"1662","US",88
"1663","Italy",88
"1664","US",88
"1665","France",88
"1666","Chile",88
"1667","US",88
"1668","France",88
"1669","France",88
"1670","France",88
"1671","Italy",88
"1672","Chile",88
"1673","Chile",88
"1674","Italy",88
"1675","Italy",88
"1676","US",88
"1677","Chile",88
"1678","US",88
"1679","Germany",88
"1680","Spain",88
"1681","US",88
"1682","Portugal",88
"1683","US",88
"1684","Portugal",88
"1685","US",88
"1686","US",88
"1687","Croatia",88
